,Title,Price,Rooms,m2,Neighbourhood,Street,Posted days ago,Description,URL
15,1 værelses lejlighed på 45 m²,9.950,1,45,København Ø,Marskensgade,3,"Lejligheden

Lejligheden er nyrenoveret og opført i lyse og tidsløse materialer, med stort lysindfald, solide parketgulve samt hvidmalede vægge, lofter og paneler. Den rummelige stue leder op til et funktionelt køkken med god skabsplads, komfur, køle- og fryseskab samt emhætte. Badeværelse byder på separat bruseniche. I værelset findes der skabe, med mulighed for opbevaring, og der er desuden tilknyttet et 3-4 kvm depotrum i kælderen. Det er muligt at ansøge om husdyrstilladelse i alle vores lejemål.

Bemærk: 12 måneder bindingsperiode 

NB: billederne viser ikke den eksakte lejlighed, men er i stedet billeder fra en lejlighed med samme planløsning og i samme stand. Der kan forekomme mindre variationer i vindues-, altan- og radiatorplaceringer mellem boliger af samme type. Desuden kan udsigten variere, hvis typebilledet er taget fra en etage lidt højere oppe eller længere nede end den pågældende lejlighed. Derfor kræver vi altid, at du skal med ud på en fremvisning inden du kan underskrive en lejekontrakt, så du er helt sikker på, hvad du får.

Ejendommen

Østerfælled Torv er en af Østerbros hyggeligste og bedst placerede ejendomme. Ejendommen er opført i 1994, men er løbende blevet renoveret. Området har tidligere huset Østerfælled Kaserne, hvor nogle af kasernebygningerne stadig findes på pladsen. Denne ejendom er derfor bygget til arkitektonisk og geometrisk at harmonere med de smukke kasernebygninger. Det er et unikt og roligt område mellem Fælledparken og Østerbrogade, hvor lejlighedernes tilbagetrukne placering bag Gunnar Nu Hansens Plads skaber en fredfyldt oase midt i byens puls. De omkringliggende, små gader samt de lukkede og hyggelige gårdmiljøer sikrer trygge omgivelser, hvor børn let finder legekammerater og voksne kan nyde en fredfyldt stund i solen. Bygningerne danner ramme om fire hyggelige gårdanlæg med legepladser, cykelparkering i terræn samt mulighed for at grille på fællesgrillen. Ejendommen byder desuden på elevator, dørtelefon og affaldsskakt.

Omgivelserne

Ejendommen ligger lige ud til Fælledparken, som er Københavns største – og nok også mest besøgte – park. Her er både plads til at spille fodbold, løbe på stierne, lufte hunde i den nye hundegård, lege på tårnlegepladsen eller øve trafik på trafiklegepladsen, spille skak ved de udendørs skakborde, skate i den nyopførte skatepark eller blot slappe af, f.eks. i den nye blomsterhave ved søen eller på en af de mange græsarealer. Kort fortalt, er Fælledparken en meget alsidig park, som både indbyder til fysisk aktivitet og afslapning i solen. På den anden side af ejendommen ligger torvet med hyggelige caféer, restauranter samt indkøbs- og shoppingmuligheder. Østerfælled Torv ligger desuden blot et stenkast fra f.eks. svømmehallen: Øbrohal, biografen: Park Bio samt Sparta atletik og motionsklub. Institutionen: Østerfælled Børnehus, ligger på selve ejendommen og derudover ligger Randersgades skole og Niels Steensens Gymnasium kun en kort cykeltur derfra. Der er flere transportmuligheder i nærområdet, herunder busser fra Østerbrogade eller S-tog fra Nordhavn st. og Østerport st. Der er desuden kun kort gåafstand fra den nye Metro station: Vibenshus Runddel.",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-oe/id-6030140
13,1 værelses lejlighed på 50 m²,10.000,1,50,København K,Peder Hvitfeldts Stræde,3,"Vi udlejer denne møblerede lejlighed beliggende lige bag Kultorvet i hjertet af København. Lejligheden udlejes i en periode på 2-6 måneder. Du bestemmer selv længden på udlejningsperioden, men depositum vil være som angivet ovenfor uanset udlejningsperioden.

We're renting out this newly renovated and furnished apartment centrally located behind Kultorvet with a rental period between 2-6 months.",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-k/id-6030151
14,1 værelses lejlighed på 38 m²,8.900,1,38,København Ø,Marskensgade,3,"Lejligheden

Lejligheden er nyrenoveret og opført i lyse og tidsløse materialer, med stort lysindfald, solide parketgulve samt hvidmalede vægge, lofter og paneler. Den rummelige stue leder op til et funktionelt køkken med god skabsplads, komfur, køle- og fryseskab samt emhætte. Badeværelse byder på separat bruseniche. I værelset findes der skabe, med mulighed for opbevaring, og der er desuden tilknyttet et 3-4 kvm depotrum i kælderen. Det er muligt at ansøge om husdyrstilladelse i alle vores lejemål.

Bemærk: 12 måneder bindingsperiode 

NB: billederne viser ikke den eksakte lejlighed, men er i stedet billeder fra en lejlighed med samme planløsning og i samme stand. Der kan forekomme mindre variationer i vindues-, altan- og radiatorplaceringer mellem boliger af samme type. Desuden kan udsigten variere, hvis typebilledet er taget fra en etage lidt højere oppe eller længere nede end den pågældende lejlighed. Derfor kræver vi altid, at du skal med ud på en fremvisning inden du kan underskrive en lejekontrakt, så du er helt sikker på, hvad du får.

Ejendommen

Østerfælled Torv er en af Østerbros hyggeligste og bedst placerede ejendomme. Ejendommen er opført i 1994, men er løbende blevet renoveret. Området har tidligere huset Østerfælled Kaserne, hvor nogle af kasernebygningerne stadig findes på pladsen. Denne ejendom er derfor bygget til arkitektonisk og geometrisk at harmonere med de smukke kasernebygninger. Det er et unikt og roligt område mellem Fælledparken og Østerbrogade, hvor lejlighedernes tilbagetrukne placering bag Gunnar Nu Hansens Plads skaber en fredfyldt oase midt i byens puls. De omkringliggende, små gader samt de lukkede og hyggelige gårdmiljøer sikrer trygge omgivelser, hvor børn let finder legekammerater og voksne kan nyde en fredfyldt stund i solen. Bygningerne danner ramme om fire hyggelige gårdanlæg med legepladser, cykelparkering i terræn samt mulighed for at grille på fællesgrillen. Ejendommen byder desuden på elevator, dørtelefon og affaldsskakt.

Omgivelserne

Ejendommen ligger lige ud til Fælledparken, som er Københavns største – og nok også mest besøgte – park. Her er både plads til at spille fodbold, løbe på stierne, lufte hunde i den nye hundegård, lege på tårnlegepladsen eller øve trafik på trafiklegepladsen, spille skak ved de udendørs skakborde, skate i den nyopførte skatepark eller blot slappe af, f.eks. i den nye blomsterhave ved søen eller på en af de mange græsarealer. Kort fortalt, er Fælledparken en meget alsidig park, som både indbyder til fysisk aktivitet og afslapning i solen. På den anden side af ejendommen ligger torvet med hyggelige caféer, restauranter samt indkøbs- og shoppingmuligheder. Østerfælled Torv ligger desuden blot et stenkast fra f.eks. svømmehallen: Øbrohal, biografen: Park Bio samt Sparta atletik og motionsklub. Institutionen: Østerfælled Børnehus, ligger på selve ejendommen og derudover ligger Randersgades skole og Niels Steensens Gymnasium kun en kort cykeltur derfra. Der er flere transportmuligheder i nærområdet, herunder busser fra Østerbrogade eller S-tog fra Nordhavn st. og Østerport st. Der er desuden kun kort gåafstand fra den nye Metro station: Vibenshus Runddel.",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-oe/id-6030141
11,1 værelses lejlighed på 36 m²,8.950,1,36,København Ø,Marskensgade,3,"Lejligheden

Lejligheden er nyrenoveret og opført i lyse og tidsløse materialer, med stort lysindfald, solide parketgulve samt hvidmalede vægge, lofter og paneler. Den rummelige stue leder op til et funktionelt køkken med god skabsplads, komfur, køle- og fryseskab samt emhætte. Badeværelse byder på separat bruseniche. I værelset findes der skabe, med mulighed for opbevaring, og der er desuden tilknyttet et 3-4 kvm depotrum i kælderen. Det er muligt at ansøge om husdyrstilladelse i alle vores lejemål.

Bemærk: 12 måneder bindingsperiode 

NB: billederne viser ikke den eksakte lejlighed, men er i stedet billeder fra en lejlighed med samme planløsning og i samme stand. Der kan forekomme mindre variationer i vindues-, altan- og radiatorplaceringer mellem boliger af samme type. Desuden kan udsigten variere, hvis typebilledet er taget fra en etage lidt højere oppe eller længere nede end den pågældende lejlighed. Derfor kræver vi altid, at du skal med ud på en fremvisning inden du kan underskrive en lejekontrakt, så du er helt sikker på, hvad du får.

Ejendommen

Østerfælled Torv er en af Østerbros hyggeligste og bedst placerede ejendomme. Ejendommen er opført i 1994, men er løbende blevet renoveret. Området har tidligere huset Østerfælled Kaserne, hvor nogle af kasernebygningerne stadig findes på pladsen. Denne ejendom er derfor bygget til arkitektonisk og geometrisk at harmonere med de smukke kasernebygninger. Det er et unikt og roligt område mellem Fælledparken og Østerbrogade, hvor lejlighedernes tilbagetrukne placering bag Gunnar Nu Hansens Plads skaber en fredfyldt oase midt i byens puls. De omkringliggende, små gader samt de lukkede og hyggelige gårdmiljøer sikrer trygge omgivelser, hvor børn let finder legekammerater og voksne kan nyde en fredfyldt stund i solen. Bygningerne danner ramme om fire hyggelige gårdanlæg med legepladser, cykelparkering i terræn samt mulighed for at grille på fællesgrillen. Ejendommen byder desuden på elevator, dørtelefon og affaldsskakt.

Omgivelserne

Ejendommen ligger lige ud til Fælledparken, som er Københavns største – og nok også mest besøgte – park. Her er både plads til at spille fodbold, løbe på stierne, lufte hunde i den nye hundegård, lege på tårnlegepladsen eller øve trafik på trafiklegepladsen, spille skak ved de udendørs skakborde, skate i den nyopførte skatepark eller blot slappe af, f.eks. i den nye blomsterhave ved søen eller på en af de mange græsarealer. Kort fortalt, er Fælledparken en meget alsidig park, som både indbyder til fysisk aktivitet og afslapning i solen. På den anden side af ejendommen ligger torvet med hyggelige caféer, restauranter samt indkøbs- og shoppingmuligheder. Østerfælled Torv ligger desuden blot et stenkast fra f.eks. svømmehallen: Øbrohal, biografen: Park Bio samt Sparta atletik og motionsklub. Institutionen: Østerfælled Børnehus, ligger på selve ejendommen og derudover ligger Randersgades skole og Niels Steensens Gymnasium kun en kort cykeltur derfra. Der er flere transportmuligheder i nærområdet, herunder busser fra Østerbrogade eller S-tog fra Nordhavn st. og Østerport st. Der er desuden kun kort gåafstand fra den nye Metro station: Vibenshus Runddel.",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-oe/id-6030216
10,3 værelses lejlighed på 75 m²,9.688,3,75,København NV,Tomsgårdsvej,3,"Ringertoften ligger i Københavns nordvestkvarter, tæt på grønne områder og brokvartererne. Her får du en nyistandsat lejlighed i en smuk ejendom med et sprudlende gårdmiljø.
Ejendommen består af 411 lejemål fordelt på lejligheder med ét til fire værelser, som alle har udsigt til ejendommens store grønne gård. Her er du tæt på byen, grønne områder, indkøb og offentlig transport.
Ingen husdyr",boligportal.dk/lejebolig/dp/3-vaerelses-lejlighed-koebenhavn-nv/id-6030311
12,1 værelses lejlighed på 50 m²,10.000,1,50,København K,Peder Hvitfeldts Stræde,3,"Vi udlejer denne møblerede lejlighed beliggende lige bag Kultorvet i hjertet af København. Lejligheden udlejes i en periode på 2-6 måneder. Du bestemmer selv længden på udlejningsperioden, men depositum vil være som angivet ovenfor uanset udlejningsperioden.

We're renting out this newly renovated and furnished apartment centrally located behind Kultorvet with a rental period between 2-6 months.",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-k/id-6030164
16,2 værelses lejlighed på 75 m²,10.250,2,75,København Ø,Bellmansgade,4,"Beliggende lige overfor Kildevældsparken på Østerbro. Det er en høj stuelejlighed fyldt med lys og med udsyn til parken. Til lejligheden hører stort kælderrum, der fungerer som vaske- og hobbyrum. Vaskerummet tilhører kun denne lejlighed. Lejlighedens indretning: Lang fordelingsentré med adgang til opholdsstue og soveværelse med garderobe og plads til hjemmearbejdsplads. I alle rummene er der hvidpigmenterede plankegulve og flotte stuklofter. Brusebadeværelse med bruseafsnit. Mod den grønne gård ligger lejlighedens store spisekøkken. Ikke egnet som delelejlighed.

Lejeperioden er 2 år med mulighed med forlænges. ",boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-oe/id-6029962
17,1 værelses lejlighed på 50 m²,10.500,1,50,København K,Lille Strandstræde,4,"Lejligheden består af et åbent rum der fungerer som såvel stue som soveværelse. Rummet er adskilt af en skillevæg, således at der er en tydelig adskillelse af soveafsnit og stue. Fra hovedrummet er der direkte forbindelse til et hyggeligt køkken, med opvaskemaskine, en lille kogeplade samt mikroovn. Badeværelse med separat bruseafsnit. Brugsret til skøn gårdhave, hvor også det fælles vaskeri befinder sig. Ejendommen har en super beliggenhed i nærheden af de lækre butikker, cafeer og restauranter omkring Store Strandstræde, Nyhavn, Sankt Annæ Plads og Kgs Nytorv. Fem minutters gang til Metro station.

OBS: Boligen udlejes kun til expats",boligportal.dk/lejebolig/dp/1-vaerelses-lejlighed-koebenhavn-k/id-6029902
18,2 værelses lejlighed på 56 m²,10.000,2,56,København S,Richard Mortensens Vej,4,"Lejligheden

Lejligheden fremstår lys og rummelig og er opført i klassiske og tidssvarende materialer. Stue og køkken ligger i forlængelse af hinanden og skaber et stort åbent rum der giver maksimalt udbytte af det fantastiske lysindfald. Det moderne og praktiske køkken er fra Invita og byder blandt andet på ’svævende’ bordplade med højtrykskomposit, LED-spots og integrerede hvidevarer – alle fra Siemens. Fra gangen har du adgang til det indbydende badeværelse med gulvvarme, formstøbt og integreret marmorvask, væghængt toilet samt vaskemaskine og tørretumbler. Det er muligt at ansøge om husdyrtilladelse i alle vores lejemål. Lejligheden råder desuden over en rummelig altan med værn i hærdet glas.

NB: billederne viser ikke den eksakte lejlighed, men er i stedet billeder fra en lejlighed med samme planløsning og i samme stand. Der kan forekomme mindre variationer i vindues-, altan- og radiatorplaceringer mellem boliger af samme type. Desuden kan udsigten variere, hvis typebilledet er taget fra en etage lidt højere oppe eller længere nede end den pågældende lejlighed. Derfor kræver vi altid, at du skal med ud på en fremvisning inden du kan underskrive en lejekontrakt, så du er helt sikker på, hvad du får.

Ejendommen

Lavetten er tegnet af den prisvindende tegnestue, Danielsen Architecture, der har skabt en ejendom med et moderne arkitektonisk udtryk. Ved at sænke bygningshøjden i det sydvestlige hjørne optimeres lysindfald og udsigt for alle beboere. Ejendommen er desuden karakteriseret ved det store, åbne gårdrum, der er inddelt i zoner med specifikke behov for øje, hvadend det er leg og bevægelse eller mere private zoner til ro og afslapning. I Lavetten får du en bæredygtig bolig i et energivenligt byggeri. Som eksempler kan nævnes bæredygtig regnvandshåndtering, kildesortering, lavenergiruder overalt samt hvidevarer i minimum energiklasse A+. Lavetten er en såkaldt lavenergibygning, der efterlever alle krav til isolering, ventilation og tæthed i energimærkningens A2020. Vi er tilmed 10% bedre. Listen over kvalitetsløsninger er lang og indbefatter desuden elevator til døren (dog ikke til de øverste dobbeltlejligheder), praktisk teknikskakt og mulighed for leje af p-plads i kælderen.

Omgivelser

Ørestad Syd er Københavns nye grønne bydel omgivet af natur og vand - og med en god blanding af boliger, erhverv, uddannelse og kultur. Området er kendetegnet ved sammenstødet mellem moderne arkitektur og Kalvebod Fælleds vidtstrakte natur. Kvarteret er i konstant udvikling og de tusindvis af nye beboere er med til at gøre Ørestad Syd til en bydel fuld af liv og aktivitet. Selvom den fredede natur ligger lige i baghaven, er man som beboer i Ørestad Syd meget tæt på Københavns midte og puls. På cykel eller med metro kan du være på Christianshavn på 11 minutter eller på Nørreport St. på 14 minutter. I Ørestad Syd har du dog adgang til alt hvad hjertet begærer, uden at forlade kvarteret. Foruden den storslåede natur, har du Danmarks største shopping center, Field’s, store kulturoplevelser i Royal Arena, caféliv, sportsklubber, skoler, børnehaver og indkøbsmuligheder lige uden for døren.",boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-s/id-6029840
19,2 værelses lejlighed på 46 m²,7.515,2,46,København S,Augustagade,4,"Flot lejlighed udlejes til virksomheder. 

2. vær + køkken, bad og entré. 
Der er vaskemaskine og tørretumbler i lejligheden.  
Lejligheden er nyistandsat ved indflytning.",boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-s/id-6029778
20,2 værelses lejlighed på 41 m²,6.801,2,41,København Ø,Ryesgade,4,"Udlejes til virksomheder. 
Udlejes til virksomheder. 
Flot 2-vær. lejlighed tæt på søerne.
Indeholder, entre, køkken, lille badeværelse, soveværelse, stue.
Der er vaskeri i ejendommen samt flot gårdmiljø.
Udlejes til virksomheder. 
Udlejes til virksomheder. Udlejes til virksomheder. ",boligportal.dk/lejebolig/dp/2-vaerelses-lejlighed-koebenhavn-oe/id-6029766
